Decade;Year;Issue;Model;aka;Ethnicity;"Eye 
Color";"Hair 
Color";Birthdate;Age;"Bra 
Size";"Cup
Value";"Cup 
Size";"Bust 
(in)";"Waist 
(in)";"Hips 
(in)";"Height 
(in)";"Height 
(m)";"Weight 
(lbs)";"Weight 
(Kg)";BMI;USA;Place of Birth
1950;1953;1953-dic;Marilyn Monroe;;Caucasian;Blue;Blonde;01/06/1926;27;36D;3;D;36;24;34;65;1,65;118;54;19,64;Y;Los Angeles, California, United States
1950;1954;1954-gen;Margie Harrison;;Caucasian;;Brunette;03/11/1931;23;36C;2;C;36;26;37;65;1,65;100;45;16,64;Y;United States
1950;1954;1954-feb;Margaret Scott;Marilyn Waltz;Caucasian;;Blonde;05/11/1931;23;36C;2;C;36;23;34;64;1,63;113;51;19,40;Y;Waukesha, Wisconsin, United States
1950;1954;1954-mar;Dolores del Monte;;Caucasian;;Brunette;15/03/1932;22;34B;1;B;34;24;35;66;1,68;118;54;19,05;Y;Spokane, Washington, United States
1950;1954;1954-apr;Margaret Scott;Marilyn Waltz;Caucasian;;Blonde;05/11/1931;23;36C;2;C;36;23;34;64;1,63;113;51;19,40;Y;Waukesha, Wisconsin, United States
1950;1954;1954-mag;Joanne Arnold;;Caucasian;;Brunette;01/04/1931;23;36D;3;D;36;24;36;65;1,65;100;45;16,64;Y;United States
1950;1954;1954-giu;Margie Harrison;;Caucasian;;Brunette;03/11/1931;23;36C;2;C;36;26;37;65;1,65;100;45;16,64;Y;United States
1950;1954;1954-lug;Neva Gilbert;;Caucasian;;Blonde;01/01/1931;23;36C;2;C;36;26;37;66;1,68;130;59;20,98;Y;New York City, New York, United States
1950;1954;1954-ago;Arline Hunter;;Caucasian;Brown;Redhead;16/12/1931;23;38C;2;C;38;24;35;65;1,65;100;45;16,64;Y;United States
1950;1954;1954-set;Jackie Rainbow;;Caucasian;;Brunette;06/06/1933;21;34C;2;C;34;24;37;65;1,65;100;45;16,64;Y;United States
1950;1954;1954-ott;Madeline Castle;;Caucasian;;Brunette;18/08/1933;21;35C;2;C;35;23;35;;;;;;Y;United States
1950;1954;1954-nov;Diane Hunter;;Caucasian;;Redhead;14/07/1937;17;34D;3;D;34;24;35;66;1,68;125;57;20,18;Y;Tacoma, Washington, United States
